Player,Min,90s,GA,SoTA,PSxG,GSAA,GSAA%
Drake Callender,2880,32.0,45,147,46.5,1.5,1.02
C.J. dos Santos,90,1.0,4,6,2.4,-1.6,-26.667
Óscar Ustari,90,1.0,0,6,1.1,1.1,18.333
Patrick Schulte,2430,27.0,29,105,32.1,3.1,2.952
Nicholas Hagen,326,3.6,5,23,6.2,1.2,5.217
Abraham Romero,90,1.5,0,3,0.4,0.4,13.333
Evan Bush,124,1.4,2,8,3.1,1.1,13.75
Roman Celentano,2700,30.0,42,129,40.9,-1.1,-0.853
Alec Kann,270,3.0,4,10,2.7,-1.3,-13.0
Evan Louro,90,1.0,2,5,1.8,-0.2,-4.0
Pedro Gallese,2610,29.0,39,105,37.9,-1.1,-1.048
Mason Stajduhar,388,4.3,8,28,10.0,2.0,7.143
Javier Otero,62,0.7,3,3,2.1,-0.9,-30.0
Kristijan Kahlina,3060,34.0,37,154,47.5,10.5,6.818
Matt Freese,2981,33.1,45,165,50.5,5.5,3.333
Luis Barraza,79,0.9,4,5,3.2,-0.8,-16.0
Carlos Coronel,2430,27.0,44,116,39.1,-4.9,-4.224
Ryan Meara,630,7.0,6,15,5.0,-1.0,-6.667
Jonathan Sirois,2970,33.0,62,172,61.5,-0.5,-0.291
Sebastian Breza,90,1.0,2,10,2.8,0.8,8.0
Brad Guzan,2849,31.7,44,154,48.4,4.4,2.857
Josh Cohen,209,2.3,5,10,1.5,-3.5,-35.0
Alex Bono,2610,29.0,55,128,49.9,-5.1,-3.984
Tyler Miller,450,5.0,15,29,10.7,-4.3,-14.828
Sean Johnson,2250,25.0,43,111,40.6,-2.4,-2.162
Luka Gavran,810,9.0,18,50,16.5,-1.5,-3.0
Oliver Semmle,1408,15.6,29,78,29.3,0.3,0.385
Andre Blake,1112,12.4,14,53,15.5,1.5,2.83
Andrew Rick,540,6.0,12,32,10.9,-1.1,-3.438
Joe Willis,2626,29.2,44,132,39.8,-4.2,-3.182
Elliot Panicco,432,4.8,10,34,10.4,0.4,1.176
Aljaž Ivačič,2250,25.0,56,158,53.2,-2.8,-1.772
Henrich Ravas,720,8.0,17,43,16.8,-0.2,-0.465
Earl Edwards Jr.,90,1.0,1,2,1.1,0.1,5.0
Christopher Brady,2970,33.0,61,164,56.9,-4.1,-2.5
Spencer Richey,90,1.0,1,4,1.3,0.3,7.5
Hugo Lloris,2970,33.0,40,130,38.2,-1.8,-1.385
Thomas Hasal,90,1.0,3,7,2.5,-0.5,-7.143
John McCarthy,2880,32.0,48,172,51.7,3.7,2.151
Novak Mićović,180,2.0,2,6,0.9,-1.1,-18.333
Zac MacMath,2070,23.0,28,99,25.5,-2.5,-2.525
Gavin Beavers,990,11.0,20,53,18.7,-1.3,-2.453
Stefan Frei,2464,27.4,27,96,26.7,-0.3,-0.312
Andrew Thomas,593,6.6,8,29,7.8,-0.2,-0.69
Steve Clark,2772,30.8,34,127,39.9,5.9,4.646
Andrew Tarbell,288,3.2,5,19,5.5,0.5,2.632
Dayne St. Clair,2340,26.0,31,99,32.1,1.1,1.111
Clint Irwin,450,5.0,12,33,11.5,-0.5,-1.515
Alec Smir,270,3.0,6,13,5.3,-0.7,-5.385
Zack Steffen,2970,33.0,57,158,45.9,-11.1,-7.025
Adam Beaudry,90,1.0,3,5,2.0,-1.0,-20.0
Yohei Takaoka,2970,33.0,47,132,48.7,1.7,1.288
Isaac Boehmer,90,1.0,2,6,1.6,-0.4,-6.667
Maxime Crépeau,1757,19.5,38,88,33.4,-4.6,-5.227
James Pantemis,1301,14.5,18,58,20.1,2.1,3.621
Brad Stuver,3060,34.0,48,178,54.6,6.6,3.708
Maarten Paes,2700,30.0,52,170,49.2,-2.8,-1.647
Jimmy Maurer,360,4.0,4,21,6.6,2.6,12.381
Roman Bürki,2821,31.3,55,152,58.6,3.6,2.368
Benjamin Lundt,239,2.7,8,15,5.1,-2.9,-19.333
Tim Melia,2520,28.0,53,125,49.2,-3.8,-3.04
John Pulskamp,540,6.0,13,23,8.9,-4.1,-17.826
William Yarbrough,1710,19.0,45,100,36.1,-8.9,-8.9
Daniel,1080,12.0,24,72,21.2,-2.8,-3.889
Jacob Jackson,270,3.0,9,18,5.2,-3.8,-21.111
